articleNo,articleName,articleStatus,realEstateTypeCode,realEstateTypeName,articleRealEstateTypeCode,articleRealEstateTypeName,tradeTypeCode,tradeTypeName,verificationTypeCode,floorInfo,rentPrc,priceChangeState,isPriceModification,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,representativeImgUrl,representativeImgTypeCode,representativeImgThumb,siteImageCount,articleFeatureDesc,tagList,buildingName,sameAddrCnt,sameAddrDirectCnt,sameAddrMaxPrc,sameAddrMinPrc,cpid,cpName,cpPcArticleUrl,cpPcArticleBridgeUrl,cpPcArticleLinkUseAtArticleTitleYn,cpPcArticleLinkUseAtCpNameYn,cpMobileArticleUrl,cpMobileArticleLinkUseAtArticleTitleYn,cpMobileArticleLinkUseAtCpNameYn,latitude,longitude,isLocationShow,realtorName,realtorId,tradeCheckedByOwner,isDirectTrade,isInterest,isComplex,detailAddress,detailAddressYn,premiumPrc,search_day
2204454861,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,SITE,10/B1,180,SAME,False,"2,000",17875,166,,20220211,/20220211_67/land_naver_1644572706631Tki6s_JPEG/a55a0b71bc790a202fa6aa707f80c3a7.JPG,SITE,f130_98,15,드라이브인시스템 전용50ㅍ 공장및창고 사무실일부집기사용가 화물승하차최적 ,['역세권'],공장,1,0.0,"2,000/180","2,000/180",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2204454861,,False,True,,False,False,37.518794,126.720762,True,(주)공단부동산공인중개사사무소,gkdud2459,False,False,False,False,,N,,20220212
2204191486,지식산업센터,R0,APTHGJ,지식산업센터,E02,지식산업센터,A1,매매,SITE,12/15,,SAME,False,1억 500,33,29,,20220210,/20220210_79/land_naver_1644485292865aHp8F_JPEG/c6154ac83982dbef3c5e9d0f984e2611.JPG,SITE,f130_98,12,공장 및 사무실 분양18ㅍ 전용9ㅍ 베란다1.5ㅍ,"['2년이내', '주차가능', '베란다']",지식산업센터,1,0.0,1억 500,1억 500,bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2204191486,,False,True,,False,False,37.521784,126.721212,True,모아부동산컨설팅공인,5291588,False,False,False,False,,N,,20220212
2204287193,지식산업센터,R0,APTHGJ,지식산업센터,E02,지식산업센터,B2,월세,SITE,4/9,150,SAME,False,"2,000",185,137,,20220210,/20220210_253/land_naver_1644484923985aW5pV_JPEG/f2feb6ccf540cde2857d9b48249274a1.JPG,SITE,f130_98,13,,"['25년이내', '융자금없는', '역세권', '주차가능']",지식산업센터,1,0.0,"2,000/150","2,000/150",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2204287193,,False,True,,False,False,37.517433,126.719434,True,공장공인중개사사무소,hns8949,False,False,False,False,,N,,20220212
2204056162,지식산업센터,R0,APTHGJ,지식산업센터,E02,지식산업센터,B2,월세,SITE,4/15,140,SAME,False,"1,500",98,86,,20220209,/20220209_295/land_naver_16443997835247XAek_JPEG/f6153d4c3898d7adda38ce6b7b7d639e.JPG,SITE,f130_98,13,신축 지식산업센터 복층구조로 인테리어 되어있는 호실,"['2년이내', '융자금없는']",지식산업센터,1,0.0,"1,500/140","1,500/140",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2204056162,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2204056162,False,True,37.521784,126.721212,True,나공단공인중개사사무소,kjcobra6557,False,False,False,False,,N,,20220212
2203841382,지식산업센터,R0,APTHGJ,지식산업센터,E02,지식산업센터,B2,월세,SITE,2/15,110,SAME,False,"1,200",98,86,,20220208,/20220208_142/land_naver_1644316506763tHtbq_JPEG/ef89e10440ef1a55d9ddbb168052e17d.JPG,SITE,f130_98,12,,"['2년이내', '주차가능', '엘리베이터', '화재경보기']",지식산업센터,1,0.0,"1,200/110","1,200/110",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2203841382,,False,True,,False,False,37.521784,126.721212,True,모아부동산컨설팅공인,5291588,False,False,False,False,,N,,20220212
2203841301,중소형사무실,R0,SMS,사무실,D01,사무실,B2,월세,SITE,12/15,70,SAME,False,"1,000",100,50,동향,20220208,/20220208_145/land_naver_1644316567113nNlt9_JPEG/bf8dd62bc569dcf85d9b656fbbfa94ea.JPG,SITE,f130_98,13,공장형 사무실   전용15.37ㅍ 베란다1.5ㅍ,"['2년이내', '관리비10만원이하', '주차가능', '엘리베이터']",중소형사무실,1,0.0,"1,000/70","1,000/70",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2203841301,,False,True,,False,False,37.521784,126.721212,True,모아부동산컨설팅공인,5291588,False,False,False,False,,N,,20220212
2203841197,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,SITE,15/B1,100,SAME,False,"1,000",15788,170,,20220208,/20220208_263/land_naver_1644316624529P59gB_JPEG/21ddea89d908e34a26bb91042ac166de.JPG,SITE,f130_98,13,제이타워 10층 공장 임대  전용26,"['2년이내', '엘리베이터', '화재경보기']",공장,1,0.0,"1,000/100","1,000/100",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2203841197,,False,True,,False,False,37.521784,126.721212,True,모아부동산컨설팅공인,5291588,False,False,False,False,,N,,20220212
2204021236,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,SITE,4/B1,360,SAME,False,"3,600",5384,10659,,20220208,/20220208_29/land_naver_1644315542219TlMPj_JPEG/e0602a03cf1f1916c0b00d5509aa650d.JPG,SITE,f130_98,15,2층180ㅍ 전자조립부품의류공장삼실 화물엘베 시스템에어컨 부평IC진입쵝오,"['융자금없는', '엘리베이터', '천장에어컨', '에어컨']",공장,1,0.0,"3,600/360","3,600/360",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2204021236,,False,True,,False,False,37.522303,126.718781,True,(주)공단부동산공인중개사사무소,gkdud2459,False,False,False,False,,N,,20220212
2203518390,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,SITE,5/-,700,SAME,False,"7,000",2119,4460,,20220207,/20220207_130/land_naver_1644231602905IItck_JPEG/aedc35e929e009043a59df17dfb72e09.JPG,SITE,f130_98,12,신축350ㅍ 카리프트 옥상주차장 컨테이너원활 전자쇼핑몰보관창고업등,"['융자금없는', '역세권']",공장,1,0.0,"7,000/700","7,000/700",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2203518390,,False,True,,False,False,37.519884,126.719943,True,(주)공단부동산공인중개사사무소,gkdud2459,False,False,False,False,,N,,20220212
2203484141,지식산업센터,R0,APTHGJ,지식산업센터,E02,지식산업센터,B2,월세,SITE,7/12,130,SAME,False,"1,500",136,97,,20220204,/20220204_184/land_naver_1643977207209mmk3a_JPEG/15b2c8859b251057f86c34d6c43ee2fe.JPG,SITE,f130_98,14,"천장형 냉난방기 설치됨, 전용 29ㅍ","['4년이내', '융자금없는', '역세권', '천장에어컨']",지식산업센터,1,0.0,"1,500/130","1,500/130",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2203484141,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2203484141,False,True,37.517708,126.720958,True,나공단공인중개사사무소,kjcobra6557,False,False,False,False,,N,,20220212
2203341748,중소형사무실,R0,SMS,사무실,D01,사무실,B2,월세,SITE,11/15,140,SAME,False,"1,400",187,95,동향,20220204,/20220204_124/land_naver_1643978287909ig5SR_JPEG/aeeeb0d8ad4fd0051d6ca4e813a71a68.JPG,SITE,f130_98,13,공장등록 가능한 11층사무실  전용29ㅍ  베란다4.5ㅍ ,"['2년이내', '관리비20만원이하', '주차가능', '베란다']",중소형사무실,1,0.0,"1,400/140","1,400/140",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2203341748,,False,True,,False,False,37.521784,126.721212,True,모아부동산컨설팅공인,5291588,False,False,False,False,,N,,20220212
2203332682,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,SITE,15/B1,100,SAME,False,"1,000",15788,170,,20220204,/20220204_16/land_naver_1643978342427jiUdH_JPEG/d894ccba25f1489034cf0e07b62010f6.JPG,SITE,f130_98,13,공장내 차량진입 및 상하차가능  전용26 베란다2.5,"['2년이내', '엘리베이터', '화재경보기', '베란다']",공장,1,0.0,"1,000/100","1,000/100",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2203332682,,False,True,,False,False,37.521784,126.721212,True,모아부동산컨설팅공인,5291588,False,False,False,False,,N,,20220212
2203383861,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,SITE,14/B1,180,SAME,False,"2,000",4810,126,,20220204,/20220204_162/land_naver_1643978162278XmVlb_JPEG/f89ffd78bc4b8a0cfccb349ec9150765.JPG,SITE,f130_98,15,갈산역인근신축지식산업센터 첫입주,"['2년이내', '융자금없는', '역세권']",공장,1,0.0,"2,000/180","2,000/180",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2203383861,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2203383861,False,True,37.517124,126.718434,True,나공단공인중개사사무소,kjcobra6557,False,False,False,False,,N,,20220212
2203318257,지식산업센터,R0,APTHGJ,지식산업센터,E02,지식산업센터,B2,월세,SITE,3/15,110,SAME,False,"1,200",98,86,,20220204,/20220204_116/land_naver_1643978403394GTmVA_JPEG/4e7673c211b06f4ea12279e09eea59f6.JPG,SITE,f130_98,13,공장  분양51ㅍ 전용26ㅍ 베란다2.5ㅍ,"['15년이내', '주차가능', '엘리베이터', '화재경보기']",지식산업센터,1,0.0,"1,200/110","1,200/110",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2203318257,,False,True,,False,False,37.521784,126.721212,True,모아부동산컨설팅공인,5291588,False,False,False,False,,N,,20220212
2203035008,지식산업센터,R0,APTHGJ,지식산업센터,E02,지식산업센터,B2,월세,SITE,5/14,190,DECREASE,True,"2,000",149,126,,20220203,/20220203_134/land_naver_1643852765499ewqw3_JPEG/e3b33f4756e9051f264ee208d4718abf.JPG,SITE,f130_98,15,복층공사하여 인테리어 잘된 사무실겸 제조시설 사용적합  5층 전용 38ㅍ,"['2년이내', '융자금없는', '역세권', '천장에어컨']",지식산업센터,1,0.0,"2,000/190","2,000/190",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2203035008,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2203035008,False,True,37.517124,126.718434,True,나공단공인중개사사무소,kjcobra6557,False,False,False,False,,N,,20220212
2204442024,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,OWNER,15/-,300,SAME,False,"3,000",15788,114100,,20220210,,,,0,전용 52ㅍ. 6층. 초역세권에 위치한 공장 타워. 내부 인테리어 완비.,"['2년이내', '융자금없는']",공장,1,0.0,"3,000/300","3,000/300",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2204442024,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2204442024,False,True,37.521784,126.721212,True,부평제이타워공인중개사사무소,bbjt337,False,False,False,False,,N,,20220212
2204435084,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,OWNER,15/-,240,SAME,False,"2,000",15788,114100,,20220210,,,,0,전용 52ㅍ. 3층.,"['2년이내', '융자금없는']",공장,1,0.0,"2,000/240","2,000/240",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2204435084,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2204435084,False,True,37.521784,126.721212,True,부평제이타워공인중개사사무소,bbjt337,False,False,False,False,,N,,20220212
2204444785,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,OWNER,15/-,50,SAME,False,500,15788,114100,,20220210,,,,0,전용 9ㅍ. 12층.,"['2년이내', '융자금없는']",공장,1,0.0,500/50,500/50,SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2204444785,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2204444785,False,True,37.521784,126.721212,True,부평제이타워공인중개사사무소,bbjt337,False,False,False,False,,N,,20220212
2204443930,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,OWNER,15/-,100,SAME,False,"1,000",15788,114100,,20220210,,,,0,,"['2년이내', '융자금없는']",공장,1,0.0,"1,000/100","1,000/100",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2204443930,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2204443930,False,True,37.521784,126.721212,True,부평제이타워공인중개사사무소,bbjt337,False,False,False,False,,N,,20220212
2204462332,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,OWNER,4/-,120,SAME,False,"1,200",4628,9553,,20220210,,,,0,2층60ㅍ 당20000원 씨스템냉난방완비 대형화물엘베 공장창고삼실가능,['엘리베이터'],공장,1,0.0,"1,200/120","1,200/120",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2204462332,,False,True,,False,False,37.520303,126.719752,True,(주)공단부동산공인중개사사무소,gkdud2459,False,False,False,False,,N,,20220212
2204415143,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,OWNER,15/-,140,SAME,True,"1,500",15788,114100,,20220210,,,,0,,"['2년이내', '융자금없는']",공장,1,0.0,"1,500/140","1,500/140",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2204415143,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2204415143,False,True,37.521784,126.721212,True,부평제이타워공인중개사사무소,bbjt337,False,False,False,False,,N,,20220212
2204432927,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,OWNER,15/-,120,SAME,False,"1,200",15788,114100,,20220210,,,,0,전용 26ㅍ. 2층. 꼼꼼하게 옵션이 준비되어 있는 호실입니다.,"['2년이내', '융자금없는']",공장,1,0.0,"1,200/120","1,200/120",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2204432927,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2204432927,False,True,37.521784,126.721212,True,부평제이타워공인중개사사무소,bbjt337,False,False,False,False,,N,,20220212
2204428088,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,OWNER,15/-,120,SAME,False,"1,200",15788,114100,,20220210,,,,0,"전용 26ㅍ. 1층,호실앞 물건 상하차가능","['2년이내', '융자금없는']",공장,1,0.0,"1,200/120","1,200/120",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2204428088,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2204428088,False,True,37.521784,126.721212,True,부평제이타워공인중개사사무소,bbjt337,False,False,False,False,,N,,20220212
2204423704,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,OWNER,9/B2,80,SAME,False,"1,000",27869,136,,20220210,,,,0,,"['25년이내', '융자금없는', '역세권']",공장,1,0.0,"1,000/80","1,000/80",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2204423704,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2204423704,False,True,37.517433,126.719434,True,나공단공인중개사사무소,kjcobra6557,False,False,False,False,,N,,20220212
2204217520,지식산업센터,R0,APTHGJ,지식산업센터,E02,지식산업센터,B2,월세,OWNER,9/10,180,SAME,False,"2,000",164,164,,20220209,,,,0,"전용50ㅍ 사무실, 냉난방기설치됨","['15년이내', '융자금없는', '역세권']",지식산업센터,1,0.0,"2,000/180","2,000/180",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2204217520,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2204217520,False,True,37.518794,126.720762,True,나공단공인중개사사무소,kjcobra6557,False,False,False,False,,N,,20220212
2204309693,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,OWNER,15/-,120,SAME,False,"1,200",15788,114100,,20220209,,,,0,,"['2년이내', '융자금없는']",공장,1,0.0,"1,200/120","1,200/120",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2204309693,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2204309693,False,True,37.521784,126.721212,True,부평제이타워공인중개사사무소,bbjt337,False,False,False,False,,N,,20220212
2204250047,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,OWNER,4/-,900,SAME,False,"9,000",4600,9500,,20220209,,,,0,2층450ㅍ 부평IC접근성쵝오 물류창고보관업 삼실60ㅍ독립 대형화물엘베 ,"['융자금없는', '엘리베이터']",공장,1,0.0,"9,000/900","9,000/900",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2204250047,,False,True,,False,False,37.520303,126.719752,True,(주)공단부동산공인중개사사무소,gkdud2459,False,False,False,False,,N,,20220212
2204233850,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,OWNER,4/-,300,SAME,False,"3,000",4628,9553,,20220209,,,,0,,['융자금없는'],공장,1,0.0,"3,000/300","3,000/300",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2204233850,,False,True,,False,False,37.520303,126.719752,True,(주)공단부동산공인중개사사무소,gkdud2459,False,False,False,False,,N,,20220212
2203858666,지식산업센터,R0,APTHGJ,지식산업센터,E02,지식산업센터,B2,월세,OWNER,8/15,100,SAME,False,"1,000",86,86,,20220207,,,,0,,['융자금없는'],지식산업센터,1,0.0,"1,000/100","1,000/100",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2203858666,,False,True,,False,False,37.521784,126.721212,True,(주)공단부동산공인중개사사무소,gkdud2459,False,False,False,False,,N,,20220212
2203859051,상가건물,R0,GM,건물,D03,상가건물,A1,매매,NDOC1,7/-,,SAME,False,"14억 5,000",189,771,,20220207,,,,0,올근생 원룸건물 매매,['15년이내'],상가건물,1,0.0,"14억 5,000","14억 5,000",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2203859051,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2203859051,False,True,37.518889,126.70598,True,황금공인중개사사무소,charmingnam1,False,False,False,False,,N,,20220212
2203860246,지식산업센터,R0,APTHGJ,지식산업센터,E02,지식산업센터,A1,매매,OWNER,8/15,,SAME,False,"2억 9,500",86,86,,20220207,,,,0,지식산업센터 전용26ㅍ 분양52ㅍ 드라이브인시스템 공장앞주차 복층가능 ,[],지식산업센터,1,0.0,"2억 9,500","2억 9,500",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2203860246,,False,True,,False,False,37.521784,126.721212,True,(주)공단부동산공인중개사사무소,gkdud2459,False,False,False,False,,N,,20220212
2203888319,지식산업센터,R0,APTHGJ,지식산업센터,E02,지식산업센터,B2,월세,OWNER,11/12,130,SAME,False,"1,300",86,86,,20220207,,,,0,갈산역 바로옆 지식산업센터 전용30ㅍ 사무실 인테리어 굿,"['4년이내', '융자금없는', '역세권', '천장에어컨']",지식산업센터,1,0.0,"1,300/130","1,300/130",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2203888319,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2203888319,False,True,37.517708,126.720958,True,나공단공인중개사사무소,kjcobra6557,False,False,False,False,,N,,20220212
2203856316,기타,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,OWNER,10/B1,80,SAME,False,"1,000",17875,81,,20220207,,,,0,이지역최저가 20ㅍ 공장앞차량진입가 10ㅍ씩분할가 소형창고        ,"['융자금없는', '역세권']",기타,1,0.0,"1,000/80","1,000/80",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2203856316,,False,True,,False,False,37.518794,126.720762,True,(주)공단부동산공인중개사사무소,gkdud2459,False,False,False,False,,N,,20220212
2202981411,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,SITE,3/-,450,SAME,False,"4,500",910,597,,20220128,/20220128_6/land_naver_1643361191177JzkTM_JPEG/9ef823f08fc9648e080272aaf6663018.JPG,SITE,f130_98,12,신축 층고 높아요,"['2년이내', '융자금없는']",공장,2,0.0,"4,500/450","4,200/420",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2202981411,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2202981411,False,True,37.523299,126.711866,True,공장24시공인중개사사무소,p1154919,False,False,False,False,,N,,20220212
2202795669,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,SITE,15/B1,110,SAME,False,"1,200",15788,170,,20220127,/20220127_129/land_naver_1643275628296q1tDB_JPEG/f6c64c56c8ad4d93811ec7fb9055c470.JPG,SITE,f130_98,11,제이타워3차 5층 공장 임대  ,"['2년이내', '엘리베이터', '화재경보기']",공장,1,0.0,"1,200/110","1,200/110",bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2202795669,,False,True,,False,False,37.521784,126.721212,True,모아부동산컨설팅공인,5291588,False,False,False,False,,N,,20220212
2202876990,공장,R0,GJCG,공장/창고,E02,공장/창고,B2,월세,SITE,4/-,144,SAME,False,"1,440",495,264,,20220127,/20220127_6/land_naver_1643275327195pLuco_JPEG/ce2ff9b85b225d549958833f9312a173.JPG,SITE,f130_98,10,3층 80ㅍ,"['15년이내', '융자금없는']",공장,1,0.0,"1,440/144","1,440/144",SERVE,부동산써브,http://www.serve.co.kr/naver/rd.asp?UID=2202876990,,False,True,http://m.serve.co.kr/naver/rd.asp?UID=2202876990,False,True,37.522321,126.707519,True,공장24시공인중개사사무소,p1154919,False,False,False,False,,N,,20220212
2203700535,지식산업센터,R0,APTHGJ,지식산업센터,E02,지식산업센터,B2,월세,OWNER,10/15,130,SAME,False,"1,300",170,86,,20220204,,,,0,부평제이타워3차 냉난방기 설치 차량 공장 내부로 진출입 가능,"['2년이내', '융자금없는', '주차가능']",지식산업센터,1,0.0,"1,300/130","1,300/130",hkdotcom,한경부동산,https://realestate.hankyung.com/naver-listing?UID=2203700535,,False,True,,False,False,37.521784,126.721212,True,김규태공인중개사사무소,kkt2729nv,False,False,False,False,,N,,20220212
